entity,coupled,degree,average-revs
org.apache.struts2.util.URLDecoderUtil,org.apache.struts2.util.URLDecoderUtilTest,100,8
org.apache.struts2.util.ComponentUtils,org.apache.struts2.util.ComponentUtilsTest,100,5
org.apache.struts2.util.tomcat.buf.StringCache,org.apache.struts2.util.tomcat.buf.UDecoder,100,5
org.apache.struts2.dispatcher.ng.filter.StrutsPrepareAndExecuteFilter,org.apache.struts2.dispatcher.ng.filter.StrutsPrepareFilter,95,11
org.apache.struts2.dojo.views.jsp.ui.SubmitTag,org.apache.struts2.dojo.views.jsp.ui.AnchorTest,90,6
org.apache.struts2.dojo.views.jsp.ui.AutocompleterTag,org.apache.struts2.dojo.views.jsp.ui.AutocompleterTest,90,6
org.apache.struts2.views.jsp.ui.AutocompleterTag,org.apache.struts2.views.jsp.ui.AutocompleterTest,83,12
org.apache.struts2.dojo.views.jsp.ui.AnchorTest,org.apache.struts2.dojo.views.jsp.ui.SubmitAjaxTest,83,6
org.apache.struts2.dojo.views.jsp.ui.SubmitTag,org.apache.struts2.dojo.views.jsp.ui.SubmitAjaxTest,76,7
org.apache.struts2.sitemesh.FreeMarkerPageFilter,org.apache.struts2.sitemesh.VelocityPageFilter,76,7
org.apache.struts2.showcase.validation.AjaxFormSubmitAction,org.apache.struts2.json.JSONActionRedirectResult,75,8
org.apache.struts2.dispatcher.multipart.MultiPartRequest,org.apache.struts2.dispatcher.multipart.MultiPartRequestWrapper,75,8
org.apache.struts2.views.util.DefaultUrlHelper,org.apache.struts2.views.util.DefaultUrlHelperTest,74,18
org.apache.struts2.convention.DefaultResultMapBuilder,org.apache.struts2.convention.DefaultResultMapBuilderTest,74,14
org.apache.struts2.components.Autocompleter,org.apache.struts2.views.jsp.ui.AutocompleterTag,71,14
org.apache.struts2.rest.RestActionMapper,org.apache.struts2.rest.RestActionMapperTest,70,19
org.apache.struts2.json.JSONInterceptor,org.apache.struts2.json.JSONInterceptorTest,69,12
org.apache.struts2.components.Autocompleter,org.apache.struts2.views.jsp.ui.AutocompleterTest,66,15
org.apache.struts2.portlet.test.BasePortletTest,org.apache.struts2.portlet.test.Struts2PortletTest,66,9
org.apache.struts2.dispatcher.ng.filter.StrutsPrepareFilter,org.apache.struts2.dispatcher.ng.servlet.StrutsServlet,66,8
org.apache.struts2.interceptor.MessageStoreInterceptor,org.apache.struts2.interceptor.MessageStoreInterceptorTest,64,13
org.apache.struts2.views.util.UrlHelper,org.apache.struts2.views.util.UrlHelperTest,63,19
org.apache.struts2.json.JSONActionRedirectResult,org.apache.struts2.json.JSONValidationInterceptor,63,10
org.apache.struts2.config_browser.ActionNamesAction,org.apache.struts2.config_browser.ShowConfigAction,62,8
org.apache.struts2.dispatcher.ng.filter.StrutsExecuteFilter,org.apache.struts2.dispatcher.ng.filter.StrutsPrepareFilter,62,8
org.apache.struts2.dispatcher.ng.filter.StrutsPrepareAndExecuteFilter,org.apache.struts2.dispatcher.ng.servlet.StrutsServlet,62,8
